valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release date,speechiness,tempo
0.441,2020,0.000487,['Ken Carson'],0.728,106536,0.442,True,0HTIrbUwwFn984RzVZm5Fk,8.21e-06,1,0.149,-10.095,1,Yale,77,2020-08-14,0.0565,142.025
0.533,2020,0.149,['Polo G'],0.783,163798,0.479,True,3JKgcAa7r07ocVWcV8bS0H,0,7,0.101,-10.646,1,21,77,2020-05-15,0.541,176.027
0.543,2020,0.524,['Giveon'],0.449,198371,0.465,False,3FAJ6O0NOHQV8Mc5Ri6ENp,1.02e-06,0,0.303,-8.964,1,Heartbreak Anniversary,83,2020-03-27,0.0791,89.087
0.453,2020,0.00981,['Don Toliver'],0.629,167916,0.692,True,527k23H0A4Q0UJN3vGs0Da,0.331,5,0.603,-8.045,1,After Party,79,2020-03-13,0.0376,162.948
0.321,2020,0.432,['Coyote Theory'],0.306,242010,0.664,False,79EkGysjP2dL5GdpeQjRxT,7.5e-06,9,0.135,-6.07,1,This Side of Paradise,82,2020-12-11,0.0276,158.283
0.0899,2020,0.0228,['Elley Duhé'],0.41,184448,0.611,False,58HvfVOeJY7lUuCqF0m3ly,0,4,0.116,-8.271,0,MIDDLE OF THE NIGHT,87,2020-01-10,0.0467,185.727
0.529,2020,0.833,['Taylor Swift'],0.392,214707,0.574,False,0lx2cLdOt3piJbcaXIV74f,0.00179,7,0.145,-9.195,1,willow,80,2020-12-11,0.17,81.112
0.318,2020,0.452,['Chris Stapleton'],0.638,240413,0.538,False,3K07bGe8iljQ3mOKArHLDo,0.000415,10,0.0695,-8.445,1,Starting Over,75,2020-11-13,0.0315,89.124
0.286,2020,0.809,['Brent Faiyaz'],0.549,180304,0.242,True,0zWbYGQq5O1KQd0iqzgjP6,8.1e-05,5,0.127,-11.692,1,Rehab (Winter In Paris),76,2020-02-07,0.038,144.211
0.649,2020,0.0113,['The Strokes'],0.593,309053,0.749,False,5ruzrDWcT0vuJIOMW7gMnW,0.106,5,0.314,-5.67,1,The Adults Are Talking,80,2020-04-10,0.0475,164.959
0.802,2020,0.144,['Tory Lanez'],0.929,132024,0.7,True,4xqIYGwwZTEem9U8A42SPF,0,0,0.349,-5.595,0,Broke In A Minute,77,2020-04-10,0.0906,120.009
0.111,2020,0.806,['Taylor Swift'],0.456,255894,0.263,False,1MgV7FIyNxIG7WzMRJV5HC,0,0,0.0749,-10.63,1,my tears ricochet,79,2020-07-24,0.0332,129.86
0.305,2020,0.0301,['Pop Smoke'],0.772,135747,0.878,True,57BGVV6wcyhbn3hsjlqEZB,2.18e-06,2,0.251,-4.22,1,Element,80,2020-02-07,0.324,61.311
0.298,2020,0.00473,"['Machine Gun Kelly', 'blackbear']",0.731,139461,0.675,True,7kDUspsoYfLkWnZR7qwHZl,0,5,0.141,-5.134,0,my ex's best friend (with blackbear),78,2020-09-25,0.0434,124.939
0.808,2020,0.29,['Lee Brice'],0.643,188893,0.79,False,6uyiyatWPCqC59Mm4rO8xL,0,4,0.107,-6.079,1,One Of Them Girls,75,2020-11-20,0.0461,95.981
0.682,2020,0.468,['Ariana Grande'],0.737,172325,0.802,True,35mvY5S1H3J2QZyna3TFe0,0,0,0.0931,-4.771,1,positions,84,2020-10-30,0.0878,144.015
0.172,2020,0.757,['Taylor Swift'],0.777,210252,0.357,True,0Jlcvv8IykzHaSmj49uNW8,7.28e-06,0,0.108,-6.942,1,the 1,79,2020-07-24,0.0522,139.883
0.395,2020,0.477,['Brent Faiyaz'],0.602,223630,0.5,True,5PvVkf1Yuq3XyMqqjPiKPd,5.69e-05,8,0.295,-9.377,1,Been Away,76,2020-02-07,0.298,132.798
0.528,2020,0.0525,['HARDY'],0.639,217802,0.843,False,2bVeUlOC5JjTpkQXuUUoYm,0,11,0.0854,-4.975,1,GIVE HEAVEN SOME HELL,74,2020-09-04,0.0362,126.047
0.145,2020,0.401,"['Bad Bunny', 'Jhayco']",0.731,205090,0.573,True,47EiUVwUp4C9fGccaPuUCS,5.22e-05,4,0.113,-10.059,0,DÁKITI,82,2020-10-30,0.0544,109.928
0.685,2020,0.125,['blackbear'],0.782,188344,0.559,True,6jRq8gaZhMUyy5RclRPcAf,0,6,0.385,-7.106,0,hot girl bummer,79,2020-08-21,0.0767,129.992
